bug_id,title,description,product_module,environment,operating_system,browser,severity,priority,status,leak_type,baseline_memory_mb,peak_memory_mb,memory_growth_rate_mb_per_hr,crash_occurred,reproducible,users_affected,concurrent_users,root_cause_category,created_at,resolved_at
6b2671e2-90c7-48e8-873c-79683a8234ab,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,Windows 10,Safari 17,High,P4,In Progress,GPU Memory Leak,473,7576,12.85,True,False,72,433,Improper event listener cleanup,2023-07-01,2023-07-16
6131c981-b6f1-45e8-b1cb-6cf1ba449071,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Development,Android 13,N/A,Low,P4,In Progress,GPU Memory Leak,326,1117,122.16,False,False,247,219,Unbounded caching mechanism,2023-05-23,2023-06-20
faa5863a-9902-4573-9713-40ac3efc8a4a,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Staging,Android 13,N/A,Critical,P3,In Progress,File Handle Leak,299,517,43.45,True,True,297,754,Thread pool mismanagement,2023-01-31,
a82b8476-badb-4ba7-8e6f-6e970307719e,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Development,macOS Ventura,Chrome 121,Medium,P4,Open,GPU Memory Leak,399,910,74.13,False,True,483,912,Thread pool mismanagement,2023-02-01,2023-02-03
9eb93f41-ad66-408d-9ea9-490cd6c668d8,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Ubuntu 20.04,Edge 120,Medium,P2,In Progress,File Handle Leak,141,5573,65.79,False,True,344,661,Unclosed file streams,2023-05-07,2023-05-09
1718914c-1a9a-4021-b125-a3d47b08d7b7,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Development,macOS Ventura,Firefox 122,High,P3,Resolved,Heap Leak,104,1094,71.45,True,False,146,162,Unbounded caching mechanism,2023-08-23,2023-09-17
d72b4dd1-bc30-480c-9fea-2e84178eb59d,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Staging,Android 13,Chrome 121,Medium,P2,Open,Heap Leak,434,7111,81.7,True,False,145,620,Improper event listener cleanup,2023-10-06,2023-10-26
4fd0cbdf-3d4d-4dc9-b9a3-2d22cf30945f,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Development,Android 13,Safari 17,High,P4,Open,File Handle Leak,235,7487,78.28,True,False,83,760,Unbounded caching mechanism,2023-06-25,2023-07-16
78ab3325-6e07-4429-befc-3c13021a7693,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Windows 10,Edge 120,Medium,P1,In Progress,Heap Leak,157,579,15.91,False,False,461,956,Unreleased object references,2023-10-10,2023-10-28
ca34104e-52e8-49ac-8573-7ed42e5bab5b,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Android 13,Firefox 122,Medium,P3,In Progress,Cache Leak,152,5963,56.28,True,True,378,947,Unclosed file streams,2023-07-03,2023-07-11
f82480c4-fee8-494c-bd1c-f65eac2581e8,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Staging,iOS 17,Chrome 121,Critical,P3,In Progress,Cache Leak,227,6521,43.69,False,False,421,815,Improper event listener cleanup,2023-07-30,2023-08-27
f52b175f-bac3-4808-a611-c06d8f4b987e,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Staging,Android 13,N/A,Critical,P2,Open,Heap Leak,304,2082,52.6,False,True,298,986,Unclosed file streams,2023-04-25,
68cf5831-1e19-47fc-9de2-4ca2a90332b8,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,macOS Ventura,Chrome 121,Critical,P3,Resolved,Heap Leak,276,4059,110.64,False,True,267,948,Thread pool mismanagement,2023-01-20,
4efc0388-693b-46a9-9644-d5afaf00eaf0,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Production,Ubuntu 20.04,N/A,High,P4,Resolved,Thread Leak,443,6537,33.57,False,False,168,413,Circular dependency in service layer,2023-12-18,2024-01-11
447859f3-4968-4f5d-8f22-00ead0cd8926,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,macOS Ventura,N/A,High,P1,Open,File Handle Leak,440,3944,141.35,False,True,221,805,Thread pool mismanagement,2023-06-01,2023-06-08
84c1e658-4e67-43ec-9568-e3408d7b4a48,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Windows 11,Chrome 121,High,P2,Open,GPU Memory Leak,326,4119,102.97,False,True,413,204,Improper event listener cleanup,2023-11-07,2023-11-22
bc1e00a4-1f74-4746-9bb6-20e7044372c2,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Android 13,N/A,Medium,P1,Closed,Cache Leak,412,4392,128.21,True,True,336,705,Unreleased object references,2023-01-13,
9ce9d6eb-4392-4f4d-92fa-89e18acbd200,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Development,iOS 17,Chrome 121,Critical,P3,Closed,Thread Leak,456,1940,80.1,False,False,314,835,Circular dependency in service layer,2023-02-24,2023-03-04
4b222cc4-e34a-4735-9270-c3bf9192e249,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Ubuntu 20.04,Firefox 122,High,P1,In Progress,File Handle Leak,328,4988,135.1,False,True,366,293,Improper event listener cleanup,2023-09-16,2023-10-16
0b902479-a03e-4bef-a8c1-21590a8b58ea,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Windows 11,Firefox 122,Low,P1,Closed,File Handle Leak,141,4924,25.06,False,False,32,212,Unbounded caching mechanism,2023-05-20,2023-06-18
f80d5dc6-3f39-44ed-8bff-31e89daff214,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Windows 10,Edge 120,High,P1,Closed,Thread Leak,110,6197,129.23,True,False,113,280,Unbounded caching mechanism,2023-07-19,2023-08-07
c8295e48-9eb5-481b-98b0-953edae5993d,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,iOS 17,Safari 17,Medium,P4,Closed,Thread Leak,442,3253,103.48,True,True,330,439,Improper event listener cleanup,2023-09-06,
7869e534-2552-4c45-9ee2-0041e7073bd2,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Staging,iOS 17,Safari 17,High,P1,Resolved,Heap Leak,294,2631,52.47,False,True,384,553,Unreleased object references,2023-08-25,
b39e847b-8eaf-4a5c-b592-6666c1b38790,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Development,iOS 17,Chrome 121,Medium,P3,In Progress,Cache Leak,433,6899,10.84,True,True,239,717,Unclosed file streams,2023-06-29,2023-07-02
08a06dd9-ec2d-4a6c-b32d-a39e352ca0b6,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,macOS Ventura,Chrome 121,High,P1,Closed,GPU Memory Leak,482,5474,109.16,True,True,53,714,Unclosed file streams,2023-07-08,
35e60e80-8cc9-496c-8592-486e0a01fc61,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Staging,Android 13,Edge 120,Low,P2,Open,Cache Leak,389,7022,118.48,False,True,222,984,Unclosed file streams,2023-12-17,2023-12-21
6e3cde07-750b-4ece-b42b-4539b6e534ca,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Ubuntu 20.04,N/A,Critical,P1,Closed,Thread Leak,178,6294,68.15,False,False,437,252,Unreleased object references,2023-11-22,2023-12-07
3d580cbe-919b-40ff-9579-a6423c3ee433,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Windows 10,Safari 17,High,P3,Closed,GPU Memory Leak,337,6647,87.63,False,False,175,287,Thread pool mismanagement,2023-05-23,2023-05-31
16d94324-0f90-4a7a-bb82-6d2d70e7f2f7,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Ubuntu 22.04,Safari 17,Medium,P1,Closed,Cache Leak,364,583,142.47,True,True,151,227,Unbounded caching mechanism,2023-12-26,2024-01-13
f668fbaf-b168-4628-aa4f-16fa0c9ae5c8,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Staging,Android 13,N/A,High,P2,Closed,File Handle Leak,288,5264,73.62,False,False,119,124,Circular dependency in service layer,2023-12-21,2024-01-12
d6faad4f-1b16-49b8-a030-a33b0f588800,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Ubuntu 22.04,Edge 120,High,P4,In Progress,File Handle Leak,490,4889,105.07,True,False,92,310,Unreleased object references,2023-04-09,2023-05-03
ed93e0a7-2c22-445b-8055-5b6a8b05af9f,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,iOS 17,Safari 17,Low,P4,Resolved,Cache Leak,127,872,85.24,False,False,175,189,Unreleased object references,2023-12-29,2024-01-07
7ad1f49c-c4c3-4ecd-95d1-60052c0a5745,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Android 13,Chrome 121,Medium,P3,Resolved,Heap Leak,133,1434,63.1,True,True,286,783,Unbounded caching mechanism,2023-05-10,2023-05-26
b522706a-3f74-42d8-b53f-ea5acc1bd33f,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,iOS 17,N/A,Critical,P2,Open,Thread Leak,497,2348,80.77,True,True,321,217,Unclosed file streams,2023-11-07,2023-11-27
83039ec6-d863-4418-bf48-8e9d51199a05,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Staging,Ubuntu 22.04,N/A,Critical,P2,Open,GPU Memory Leak,188,2464,85.04,False,False,360,881,Unbounded caching mechanism,2023-12-05,
a32b7384-525d-4188-86bf-b66d8770963d,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Development,macOS Ventura,Firefox 122,Medium,P2,In Progress,Heap Leak,420,2667,90.52,True,True,406,315,Thread pool mismanagement,2023-02-06,2023-03-08
aa34f1d7-2075-43b9-a91e-62a69effdec8,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,macOS Ventura,N/A,Critical,P1,Open,Thread Leak,339,1518,104.86,True,False,377,331,Thread pool mismanagement,2023-10-19,2023-11-03
cd834a92-6456-4269-b952-215cfac2f2d2,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Development,iOS 17,Edge 120,Low,P3,Closed,Thread Leak,445,2375,126.21,False,False,93,600,Unbounded caching mechanism,2023-05-09,
98103e94-0742-4d30-ba1b-6ab6763c8eca,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,iOS 17,Firefox 122,High,P1,Closed,File Handle Leak,278,4350,64.21,False,True,233,91,Unclosed file streams,2023-11-22,2023-11-25
dcc0c1b2-7bbc-43be-89c9-7ae4e4c5fa93,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Production,Ubuntu 22.04,Safari 17,Low,P3,Resolved,Thread Leak,363,3811,124.61,False,False,390,53,Improper event listener cleanup,2023-05-10,2023-06-04
4aa5a43c-927a-4e8c-bfc7-f94f78e5bdbe,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Development,Android 13,N/A,Medium,P3,Resolved,Thread Leak,324,2859,132.72,True,False,48,231,Unreleased object references,2023-05-17,2023-06-16
15c60db9-0219-4212-b63a-9e5709bff2a3,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Android 13,Edge 120,Critical,P1,Closed,GPU Memory Leak,178,7316,77.26,False,True,197,196,Thread pool mismanagement,2023-08-25,2023-09-15
cc258f8a-8996-4ae9-b978-0841e8d28585,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Ubuntu 20.04,Chrome 121,High,P2,Closed,GPU Memory Leak,135,7578,45.06,False,False,177,341,Thread pool mismanagement,2023-09-18,2023-09-23
757b64ad-6b80-4417-89a3-039abd2b0acf,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Staging,Windows 11,Safari 17,Low,P2,Closed,Cache Leak,196,3136,147.21,False,True,254,988,Unreleased object references,2023-10-06,2023-11-05
7b84f601-7acd-4e2e-ba0e-90c23b3a4216,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Production,Ubuntu 22.04,Chrome 121,Medium,P1,In Progress,Heap Leak,151,3219,131.76,False,False,174,639,Circular dependency in service layer,2023-03-06,2023-03-25
25052989-3ccb-4c8e-a234-5bb9c9781cfc,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Android 13,Safari 17,Low,P4,In Progress,File Handle Leak,445,3191,129.6,True,True,223,101,Circular dependency in service layer,2023-07-23,2023-08-20
e074e7f8-9725-4a87-8a18-1310e47eadea,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Staging,iOS 17,Chrome 121,High,P2,Resolved,Cache Leak,455,1862,48.42,True,True,272,422,Thread pool mismanagement,2023-12-27,2024-01-11
d92db69c-ceda-4b40-b7b6-8b3ed5b3767d,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Windows 11,Safari 17,Medium,P3,Closed,File Handle Leak,140,1934,93.38,False,False,342,10,Unbounded caching mechanism,2023-12-16,2023-12-22
d552da47-f18f-43d8-b204-b3764651177a,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Ubuntu 22.04,Edge 120,Critical,P2,In Progress,Cache Leak,326,1105,142.06,False,True,122,391,Thread pool mismanagement,2023-05-28,2023-06-03
5f6b29ab-f954-464c-b05a-a694208964f3,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Windows 10,N/A,Low,P1,Resolved,GPU Memory Leak,111,2918,146.8,False,True,326,195,Thread pool mismanagement,2023-07-03,2023-07-26
e3f8bbcf-6c7f-4b6e-a579-3bd6e991d8bf,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,Android 13,Chrome 121,High,P1,Open,Thread Leak,437,6787,103.72,False,True,47,932,Unclosed file streams,2023-05-09,2023-06-02
1c3242b5-5926-491b-bb8d-1a2e593b3f11,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Ubuntu 20.04,Firefox 122,High,P1,Resolved,File Handle Leak,167,2144,119.04,True,False,494,78,Improper event listener cleanup,2023-06-17,2023-06-23
3bbdee69-b747-4d25-9427-d62663c3fe8c,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,iOS 17,Safari 17,Low,P2,Open,Cache Leak,303,6024,145.25,False,False,300,391,Circular dependency in service layer,2023-04-26,2023-05-20
26936f00-99ac-4ea3-92ff-1720d77de435,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Windows 11,Chrome 121,Critical,P2,Closed,Heap Leak,341,2415,8.63,True,True,485,39,Unclosed file streams,2023-07-10,
826c3905-2b8a-4634-a007-20580cb97618,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,Android 13,N/A,Critical,P3,Closed,Heap Leak,375,2423,24.67,False,False,481,975,Unclosed file streams,2023-09-10,
4e14b100-9002-4d7a-ba60-06a4feed3a67,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Production,Ubuntu 20.04,N/A,High,P4,Closed,File Handle Leak,327,4132,142.83,True,True,486,869,Unbounded caching mechanism,2023-01-17,2023-01-24
8c505c96-f286-4c90-85a7-ad0bdde2717a,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,Windows 11,N/A,Medium,P4,In Progress,Thread Leak,405,5738,145.81,True,True,169,793,Improper event listener cleanup,2023-02-16,2023-03-09
e96ead4a-9302-4331-87d3-9b603f548090,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,Windows 10,Chrome 121,Medium,P4,Resolved,GPU Memory Leak,174,7532,148.19,False,True,90,272,Unreleased object references,2023-11-02,
7530e075-258b-4d97-a62f-fa14ab5521e6,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,macOS Ventura,Chrome 121,Critical,P3,Open,Thread Leak,481,1431,14.22,False,False,330,988,Unreleased object references,2023-03-06,2023-03-23
95ad30b7-0b92-4991-93b8-de2a5deafeaf,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Staging,Windows 10,Chrome 121,High,P3,Open,GPU Memory Leak,318,3790,104.48,False,False,196,612,Thread pool mismanagement,2023-02-01,2023-03-01
b316d3c5-4d55-4872-95c3-94411ea64a23,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Production,iOS 17,N/A,Medium,P1,Closed,GPU Memory Leak,150,4024,120.0,False,False,424,465,Unbounded caching mechanism,2023-05-31,2023-06-20
ad123710-7318-40ee-9d33-157e0b956438,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Ubuntu 22.04,Chrome 121,Low,P4,Open,Cache Leak,260,3996,101.44,True,False,416,134,Thread pool mismanagement,2023-08-01,2023-08-12
3de91b6f-e9d8-42d0-8c90-a683b2948518,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Production,iOS 17,Safari 17,Low,P2,Resolved,File Handle Leak,268,5101,102.15,True,True,80,673,Unbounded caching mechanism,2023-01-31,2023-02-18
7ac5849f-82bf-4d51-a186-47c284fef900,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Development,iOS 17,Safari 17,Low,P2,Open,GPU Memory Leak,384,7425,58.3,False,False,472,348,Unclosed file streams,2023-04-25,2023-05-07
8238ec44-cf70-41a1-aecc-12c6fcad832f,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Android 13,Chrome 121,Low,P3,Closed,Cache Leak,389,1673,100.31,False,False,81,379,Unclosed file streams,2023-01-04,
deaed002-64c5-481b-ab19-81bcc14c9653,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Windows 10,Chrome 121,High,P1,Closed,Cache Leak,143,5384,133.08,False,False,140,221,Thread pool mismanagement,2023-06-16,2023-07-05
a3a13a15-93ba-44bf-ae3f-27ade6c7de7d,Memory leak detected in API-Gateway during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Production,Ubuntu 20.04,Chrome 121,Medium,P1,Open,Heap Leak,447,2820,103.38,True,False,485,217,Improper event listener cleanup,2023-02-28,2023-03-04
ba1e6497-f6e6-4740-bde6-b7e06d419d38,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Staging,macOS Ventura,Firefox 122,High,P4,Closed,Heap Leak,354,563,113.32,False,True,236,944,Unreleased object references,2023-05-11,2023-05-15
0b9122b6-42c6-407d-b5ef-aab416e4efb7,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Staging,Windows 10,Edge 120,Medium,P1,Resolved,Heap Leak,463,3813,97.82,False,True,125,447,Thread pool mismanagement,2023-06-10,2023-06-29
c1fa29fb-c4b9-4553-85dd-36d7d625338b,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,Windows 10,N/A,Low,P3,Resolved,File Handle Leak,258,7631,113.14,True,True,53,150,Unclosed file streams,2023-07-25,2023-08-07
b3631017-3e27-462f-a536-e5ed5a4f384e,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Production,Ubuntu 22.04,Safari 17,Critical,P2,Resolved,GPU Memory Leak,489,1752,115.08,False,True,241,453,Circular dependency in service layer,2023-04-12,
a8358ad9-a1c1-434f-9cba-e895e7edbde8,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Windows 10,Chrome 121,High,P2,Open,Heap Leak,280,960,78.56,False,False,298,568,Circular dependency in service layer,2023-06-05,2023-06-24
5387ebe8-91e4-4d2b-9c2e-12b80b61684c,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Windows 11,Chrome 121,Critical,P4,Resolved,Heap Leak,433,5183,32.29,True,True,127,725,Unbounded caching mechanism,2023-01-22,2023-02-17
410552bf-edfd-4ce9-8abe-a5a68b82396b,Memory leak detected in MobileApp-iOS during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,iOS 17,Edge 120,Low,P2,Open,File Handle Leak,286,1800,59.06,True,False,146,259,Circular dependency in service layer,2023-08-13,2023-09-02
394fa886-d40e-4b3e-960c-333723c2a168,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,Ubuntu 20.04,Edge 120,Critical,P3,Open,File Handle Leak,176,7653,53.34,False,False,417,131,Circular dependency in service layer,2023-12-03,2023-12-23
28699276-9949-422b-a23c-e8bed0016c13,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Ubuntu 20.04,Chrome 121,High,P2,In Progress,GPU Memory Leak,369,6114,18.55,False,False,99,232,Improper event listener cleanup,2023-12-26,2024-01-19
b344657f-45b4-4330-8606-11c6c127c494,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Production,Windows 10,Edge 120,Medium,P1,In Progress,GPU Memory Leak,151,7417,78.62,True,True,370,449,Unreleased object references,2023-03-21,
1946d0bc-c0c3-4575-9808-8467dbe7620a,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Development,macOS Ventura,Firefox 122,High,P1,In Progress,File Handle Leak,327,2445,93.54,False,False,394,289,Unbounded caching mechanism,2023-07-30,2023-08-23
